AGENCY_NAME,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
CA Highway Patrol - Sacramento,2018,56,2735,60
CA Highway Patrol - Sacramento,2019,121,3515,208
CA Highway Patrol - Sacramento,2020,116,2217,158
CA Highway Patrol - Sacramento,2021,0,26,0
CA Highway Patrol - Sacramento,2022,0,842,8
CA State Fair,2017,31,35,13
CA State Fair,2018,8,23,5
CA State Fair,2019,8,22,13
CA State Fair,2020,5,2,1
CA State Fair,2022,9,17,4
CSU Channel Islands Police Department,2017,6,6,9
CSU Channel Islands Police Department,2018,2,18,2
CSU Channel Islands Police Department,2019,4,25,24
CSU Channel Islands Police Department,2020,9,26,2
CSU Channel Islands Police Department,2022,4,19,15
CSU Chico Police Department,2017,17,96,24
CSU Chico Police Department,2018,11,56,12
CSU Chico Police Department,2019,9,67,23
CSU Chico Police Department,2020,12,40,18
CSU Chico Police Department,2022,8,50,11
CSU Dominguez Hills Police Department,2017,14,7,5
CSU Dominguez Hills Police Department,2018,5,4,3
CSU Dominguez Hills Police Department,2019,5,4,9
CSU Dominguez Hills Police Department,2020,1,1,1
CSU Dominguez Hills Police Department,2022,1,1,4
CSU East Bay Police Department,2017,2,13,5
CSU East Bay Police Department,2018,4,24,2
CSU East Bay Police Department,2019,2,14,5
CSU East Bay Police Department,2020,1,3,2
CSU East Bay Police Department,2022,2,1,1
CSU Fresno Police Department,2017,21,149,25
CSU Fresno Police Department,2018,20,86,20
CSU Fresno Police Department,2019,17,49,9
CSU Fresno Police Department,2020,10,27,11
CSU Fresno Police Department,2022,11,30,14
CSU Fullerton Police Department,2017,27,214,65
CSU Fullerton Police Department,2018,17,126,34
CSU Fullerton Police Department,2019,16,154,30
CSU Fullerton Police Department,2020,5,26,9
CSU Fullerton Police Department,2022,5,19,22
CSU Humboldt Police Department,2017,4,22,1
CSU Humboldt Police Department,2018,5,35,5
CSU Humboldt Police Department,2019,4,15,11
CSU Humboldt Police Department,2020,1,8,4
CSU Humboldt Police Department,2022,1,19,11
CSU Long Beach Police Department,2017,10,21,17
CSU Long Beach Police Department,2018,8,23,6
CSU Long Beach Police Department,2019,6,26,8
CSU Long Beach Police Department,2020,1,5,10
CSU Long Beach Police Department,2021,2,5,5
CSU Long Beach Police Department,2022,4,14,25
CSU Los Angeles Police Department,2017,5,19,11
CSU Los Angeles Police Department,2018,6,10,7
CSU Los Angeles Police Department,2019,10,16,15
CSU Los Angeles Police Department,2020,2,12,4
CSU Los Angeles Police Department,2022,4,1,5
CSU Monterey Bay Police Department,2017,7,31,12
CSU Monterey Bay Police Department,2018,15,20,8
CSU Monterey Bay Police Department,2019,11,32,9
CSU Monterey Bay Police Department,2020,12,35,13
CSU Monterey Bay Police Department,2021,3,8,14
CSU Monterey Bay Police Department,2022,8,17,10
CSU Northridge Police Department,2017,13,9,29
CSU Northridge Police Department,2018,20,25,20
CSU Northridge Police Department,2019,13,31,11
CSU Northridge Police Department,2020,9,5,9
CSU Northridge Police Department,2022,6,8,9
CSU Sacramento Police Department,2017,7,40,30
CSU Sacramento Police Department,2018,6,16,9
CSU Sacramento Police Department,2019,5,20,15
CSU Sacramento Police Department,2020,5,9,8
CSU Sacramento Police Department,2022,3,11,7
CSU San Bernardino Police Department,2017,8,14,13
CSU San Bernardino Police Department,2018,5,13,10
CSU San Bernardino Police Department,2019,6,11,7
CSU San Bernardino Police Department,2020,2,5,5
CSU San Bernardino Police Department,2022,3,24,6
CSU San Diego Police Department,2017,37,164,172
CSU San Diego Police Department,2018,41,209,158
CSU San Diego Police Department,2019,33,171,132
CSU San Diego Police Department,2020,21,134,54
CSU San Diego Police Department,2022,30,104,74
CSU San Francisco Police Department,2017,4,33,14
CSU San Francisco Police Department,2018,12,12,7
CSU San Francisco Police Department,2019,16,9,10
CSU San Francisco Police Department,2020,4,1,9
CSU San Francisco Police Department,2022,4,2,6
CSU San Marcos Police Department,2017,9,47,5
CSU San Marcos Police Department,2018,3,38,5
CSU San Marcos Police Department,2019,3,61,2
CSU San Marcos Police Department,2020,2,40,5
CSU San Marcos Police Department,2021,1,8,5
CSU San Marcos Police Department,2022,2,25,6
CSU Sonoma Police Department,2017,9,26,4
CSU Sonoma Police Department,2018,9,17,4
CSU Sonoma Police Department,2019,5,5,3
CSU Sonoma Police Department,2020,2,9,3
CSU Sonoma Police Department,2022,2,7,7
CSU Stanislaus Police Department,2017,7,35,10
CSU Stanislaus Police Department,2018,6,32,1
CSU Stanislaus Police Department,2019,4,15,4
CSU Stanislaus Police Department,2020,4,12,1
CSU Stanislaus Police Department,2022,1,14,4
CUESTA COLLEGE PD,2017,1,6,0
CUESTA COLLEGE PD,2018,0,1,0
CUESTA COLLEGE PD,2020,1,0,1
Cal Poly - Pomona Police Department,2017,6,18,17
Cal Poly - Pomona Police Department,2018,12,25,12
Cal Poly - Pomona Police Department,2019,11,46,18
Cal Poly - Pomona Police Department,2020,4,15,7
Cal Poly - Pomona Police Department,2022,2,15,13
Cal Poly San Luis Obispo Police Department,2017,5,113,8
Cal Poly San Luis Obispo Police Department,2018,10,107,4
Cal Poly San Luis Obispo Police Department,2019,8,84,7
Cal Poly San Luis Obispo Police Department,2020,3,42,7
Cal Poly San Luis Obispo Police Department,2021,1,19,2
Cal Poly San Luis Obispo Police Department,2022,1,14,4
Calaveras County Sheriff's Department,2017,363,197,111
Calaveras County Sheriff's Department,2018,265,161,102
Calaveras County Sheriff's Department,2019,240,152,88
Calaveras County Sheriff's Department,2020,224,171,74
Calaveras County Sheriff's Department,2021,20,8,6
Calaveras County Sheriff's Department,2022,204,104,101
Calexico Police Department,2017,117,127,146
Calexico Police Department,2018,123,137,142
Calexico Police Department,2019,132,118,106
Calexico Police Department,2020,85,37,61
Calexico Police Department,2022,78,115,79
California City Police Department,2017,141,105,54
California City Police Department,2018,107,82,88
California City Police Department,2019,101,122,84
California City Police Department,2020,86,88,79
California City Police Department,2022,88,59,60
Calistoga Police Department,2017,21,81,6
Calistoga Police Department,2018,26,79,13
Calistoga Police Department,2019,19,44,4
Calistoga Police Department,2020,22,49,12
Calistoga Police Department,2022,25,44,11
Campbell Police Department,2017,205,1000,315
Campbell Police Department,2018,163,846,204
Campbell Police Department,2019,166,896,190
Campbell Police Department,2020,148,606,155
Campbell Police Department,2022,233,958,237
Capitola Police Department,2017,77,263,221
Capitola Police Department,2018,61,143,155
Capitola Police Department,2019,64,161,177
Capitola Police Department,2020,56,151,73
Capitola Police Department,2022,50,129,46
Carlsbad Police Department,2017,375,943,358
Carlsbad Police Department,2018,305,977,393
Carlsbad Police Department,2019,270,915,378
Carlsbad Police Department,2020,309,1096,278
Carlsbad Police Department,2021,115,2049,187
Carlsbad Police Department,2022,273,1683,379
Carmel Police Department,2017,11,95,20
Carmel Police Department,2018,20,114,9
Carmel Police Department,2019,26,113,24
Carmel Police Department,2020,19,84,29
Carmel Police Department,2021,12,56,30
Carmel Police Department,2022,9,73,30
Cathedral City Police Department,2017,205,511,156
Cathedral City Police Department,2018,237,723,170
Cathedral City Police Department,2019,198,572,158
Cathedral City Police Department,2020,165,386,119
Cathedral City Police Department,2022,150,386,112
Ceres Police Department,2017,271,355,376
Ceres Police Department,2018,266,401,383
Ceres Police Department,2019,274,450,317
Ceres Police Department,2020,302,395,252
Ceres Police Department,2022,225,278,257
Chico Police Department,2017,540,1623,486
Chico Police Department,2018,712,1952,496
Chico Police Department,2019,704,2175,525
Chico Police Department,2020,559,1369,446
Chico Police Department,2022,551,1176,329
Chino Police Department,2017,436,1259,527
Chino Police Department,2018,429,1073,637
Chino Police Department,2019,487,1173,804
Chino Police Department,2020,526,1138,633
Chino Police Department,2021,399,745,558
Chino Police Department,2022,434,910,828
Chowchilla Police Department,2017,114,138,74
Chowchilla Police Department,2018,110,129,46
Chowchilla Police Department,2019,78,107,41
Chowchilla Police Department,2020,74,133,47
Chowchilla Police Department,2022,68,97,57
Chula Vista Police Department,2017,964,1666,938
Chula Vista Police Department,2018,995,1894,739
Chula Vista Police Department,2019,951,1786,734
Chula Vista Police Department,2020,815,1212,638
Chula Vista Police Department,2021,338,967,318
Chula Vista Police Department,2022,812,969,531
Citrus Heights Police Department,2017,402,817,625
Citrus Heights Police Department,2018,385,839,526
Citrus Heights Police Department,2019,424,859,433
Citrus Heights Police Department,2020,403,675,372
Citrus Heights Police Department,2022,223,434,225
Claremont Police Department,2017,152,672,298
Claremont Police Department,2018,146,558,273
Claremont Police Department,2019,158,666,299
Claremont Police Department,2020,124,388,198
Claremont Police Department,2022,55,194,130
Clayton Police Department,2017,13,43,21
Clayton Police Department,2018,24,63,34
Clayton Police Department,2019,4,57,33
Clayton Police Department,2020,11,20,13
Clayton Police Department,2021,1,9,0
Clayton Police Department,2022,5,5,6
Clearlake Police Department,2017,259,461,176
Clearlake Police Department,2018,307,729,208
Clearlake Police Department,2019,242,592,209
Clearlake Police Department,2020,242,544,221
Clearlake Police Department,2022,234,503,137
Cloverdale Police Department,2017,50,95,30
Cloverdale Police Department,2018,39,124,18
Cloverdale Police Department,2019,38,112,20
Cloverdale Police Department,2020,31,73,9
Cloverdale Police Department,2022,20,43,12
Clovis Police Department,2017,512,1281,1063
Clovis Police Department,2018,580,1262,996
Clovis Police Department,2019,550,1014,1008
Clovis Police Department,2020,491,1125,738
Clovis Police Department,2022,338,713,623
Coalinga Police Department,2017,102,155,63
Coalinga Police Department,2018,75,199,52
Coalinga Police Department,2019,61,146,35
Coalinga Police Department,2020,80,158,50
Coalinga Police Department,2022,87,104,48
Colma Police Department,2017,38,185,189
Colma Police Department,2018,36,195,227
Colma Police Department,2019,34,204,197
Colma Police Department,2020,23,124,97
Colma Police Department,2022,35,105,307
Colton Police Department,2017,233,650,284
Colton Police Department,2018,207,801,277
Colton Police Department,2019,194,663,235
Colton Police Department,2020,181,538,228
Colton Police Department,2021,125,320,205
Colton Police Department,2022,137,274,146
Colusa County Sheriff's Department,2017,60,142,51
Colusa County Sheriff's Department,2018,69,123,49
Colusa County Sheriff's Department,2019,61,130,39
Colusa County Sheriff's Department,2020,58,102,59
Colusa County Sheriff's Department,2022,53,107,59
Colusa Police Department,2017,31,137,18
Colusa Police Department,2018,41,161,21
Colusa Police Department,2019,46,99,10
Colusa Police Department,2020,30,138,16
Colusa Police Department,2022,26,85,14
Concord Police Department,2017,552,1317,617
Concord Police Department,2018,517,1138,516
Concord Police Department,2019,521,1113,571
Concord Police Department,2020,399,649,366
Concord Police Department,2021,341,594,374
Concord Police Department,2022,460,790,386
Contra Costa Community College Police Department,2017,6,9,7
Contra Costa Community College Police Department,2018,6,9,6
Contra Costa Community College Police Department,2019,6,10,5
Contra Costa Community College Police Department,2020,2,2,3
Contra Costa Community College Police Department,2022,5,25,8
Contra Costa County Sheriff's Department,2017,1010,1491,1390
Contra Costa County Sheriff's Department,2018,1021,1327,1368
Contra Costa County Sheriff's Department,2019,996,974,1338
Contra Costa County Sheriff's Department,2020,658,406,881
Contra Costa County Sheriff's Department,2022,676,366,761
Corcoran Police Department,2017,107,253,62
Corcoran Police Department,2018,113,231,80
Corcoran Police Department,2019,95,270,53
Corcoran Police Department,2020,99,169,80
Corcoran Police Department,2021,31,63,9
Corcoran Police Department,2022,82,110,69
Corning Police Department,2017,34,197,66
Corning Police Department,2018,45,301,41
Corning Police Department,2019,63,379,81
Corning Police Department,2020,40,230,31
Corning Police Department,2021,7,69,21
Corning Police Department,2022,30,126,59
Corona Police Department,2017,416,1383,584
Corona Police Department,2018,366,1040,601
Corona Police Department,2019,431,872,540
Corona Police Department,2020,359,475,464
Corona Police Department,2022,471,779,577
Coronado Police Department,2017,43,157,71
Coronado Police Department,2018,45,176,56
Coronado Police Department,2019,49,207,56
Coronado Police Department,2020,39,164,63
Coronado Police Department,2021,19,73,23
Coronado Police Department,2022,43,237,98
Costa Mesa Police Department,2017,479,2165,867
Costa Mesa Police Department,2018,435,2939,765
Costa Mesa Police Department,2019,390,2553,760
Costa Mesa Police Department,2020,436,2417,600
Costa Mesa Police Department,2022,571,2991,991
Cotati Police Department,2017,60,225,31
Cotati Police Department,2018,84,228,37
Cotati Police Department,2019,59,229,30
Cotati Police Department,2020,52,104,23
Cotati Police Department,2022,43,63,42
Covina Police Department,2017,247,1072,454
Covina Police Department,2018,263,1378,418
Covina Police Department,2019,289,1286,457
Covina Police Department,2020,205,1086,380
Covina Police Department,2021,103,523,193
Covina Police Department,2022,218,1052,348
Crescent City Police Department,2017,128,348,132
Crescent City Police Department,2018,109,470,142
Crescent City Police Department,2019,100,338,138
Crescent City Police Department,2020,119,156,66
Crescent City Police Department,2022,112,186,211
Culver City Police Department,2017,171,439,879
Culver City Police Department,2018,174,588,736
Culver City Police Department,2019,183,720,915
Culver City Police Department,2020,141,343,545
Culver City Police Department,2021,120,187,314
Culver City Police Department,2022,159,353,563
Cypress Police Department,2017,89,380,162
Cypress Police Department,2018,84,582,167
Cypress Police Department,2019,86,461,129
Cypress Police Department,2020,78,259,132
Cypress Police Department,2022,66,278,164
Daly City Police Department,2017,430,815,477
Daly City Police Department,2018,438,796,414
Daly City Police Department,2019,494,725,480
Daly City Police Department,2020,300,439,276
Daly City Police Department,2022,327,444,474
Davis Police Department,2017,131,453,145
Davis Police Department,2018,99,378,134
Davis Police Department,2019,93,388,112
Davis Police Department,2020,126,206,131
Davis Police Department,2021,19,28,14
Davis Police Department,2022,110,211,130
Del Norte County Sheriff's Department,2017,207,218,80
Del Norte County Sheriff's Department,2018,186,224,83
Del Norte County Sheriff's Department,2019,161,210,109
Del Norte County Sheriff's Department,2020,114,163,57
Del Norte County Sheriff's Department,2022,134,134,71
Del Rey Oaks Police Department,2017,1,4,5
Del Rey Oaks Police Department,2018,5,6,13
Del Rey Oaks Police Department,2019,3,7,11
Del Rey Oaks Police Department,2020,6,6,7
Del Rey Oaks Police Department,2021,1,5,8
Del Rey Oaks Police Department,2022,2,3,15
Delano Police Department,2017,226,279,211
Delano Police Department,2018,228,325,193
Delano Police Department,2019,237,307,162
Delano Police Department,2020,132,230,92
Delano Police Department,2021,13,15,8
Delano Police Department,2022,114,166,120
Desert Hot Springs Police Department,2017,201,140,145
Desert Hot Springs Police Department,2018,238,160,146
Desert Hot Springs Police Department,2019,207,155,136
Desert Hot Springs Police Department,2020,181,163,124
Desert Hot Springs Police Department,2022,176,131,85
Dinuba Police Department,2017,210,522,162
Dinuba Police Department,2018,222,357,190
Dinuba Police Department,2019,244,316,143
Dinuba Police Department,2020,188,223,91
Dinuba Police Department,2021,175,169,64
Dinuba Police Department,2022,189,254,135
Dixon Police Department,2017,101,134,62
Dixon Police Department,2018,101,180,82
Dixon Police Department,2019,71,153,59
Dixon Police Department,2020,96,196,107
Dixon Police Department,2021,75,156,84
Dixon Police Department,2022,103,115,82
Dos Palos Police Department,2017,36,41,38
Dos Palos Police Department,2018,25,35,18
Dos Palos Police Department,2019,49,96,42
Dos Palos Police Department,2020,60,101,44
Dos Palos Police Department,2022,41,36,21
Downey Police Department,2017,382,903,898
Downey Police Department,2018,428,1191,737
Downey Police Department,2019,370,978,842
Downey Police Department,2020,353,530,567
Downey Police Department,2022,422,559,513
El Cajon Police Department,2017,490,2093,596
El Cajon Police Department,2018,577,2139,656
El Cajon Police Department,2019,552,2164,721
El Cajon Police Department,2020,621,2272,580
El Cajon Police Department,2021,203,1159,247
El Cajon Police Department,2022,489,1247,458
El Camino College Police Department,2017,14,49,14
El Camino College Police Department,2018,7,38,12
El Camino College Police Department,2019,3,10,7
El Camino College Police Department,2020,2,2,3
El Camino College Police Department,2022,0,1,0
El Centro Police Department,2017,306,363,263
El Centro Police Department,2018,270,399,258
El Centro Police Department,2019,259,382,249
El Centro Police Department,2020,229,185,157
El Centro Police Department,2022,210,188,135
El Cerrito Police Department,2017,110,269,308
El Cerrito Police Department,2018,94,242,266
El Cerrito Police Department,2019,71,164,121
El Cerrito Police Department,2020,51,83,100
El Cerrito Police Department,2021,27,29,53
El Cerrito Police Department,2022,43,32,83
El Dorado County Sheriff's Department,2017,718,1084,488
El Dorado County Sheriff's Department,2018,657,864,422
El Dorado County Sheriff's Department,2019,591,736,378
El Dorado County Sheriff's Department,2020,643,926,382
El Dorado County Sheriff's Department,2021,358,398,211
El Dorado County Sheriff's Department,2022,504,501,275
El Monte Police Department,2017,568,1118,650
El Monte Police Department,2018,572,1248,649
El Monte Police Department,2019,608,1251,623
El Monte Police Department,2020,523,561,461
El Monte Police Department,2021,352,297,314
El Monte Police Department,2022,398,512,423
El Segundo Police Department,2017,64,231,217
El Segundo Police Department,2018,82,266,163
El Segundo Police Department,2019,57,262,164
El Segundo Police Department,2020,68,194,276
El Segundo Police Department,2021,45,135,179
El Segundo Police Department,2022,51,189,187
Elk Grove Police Department,2017,374,544,399
Elk Grove Police Department,2018,395,559,387
Elk Grove Police Department,2019,431,633,438
Elk Grove Police Department,2020,332,381,270
Elk Grove Police Department,2021,55,31,37
Elk Grove Police Department,2022,352,347,349
Emeryville Police Department,2017,110,126,330
Emeryville Police Department,2018,110,187,360
Emeryville Police Department,2019,120,171,299
Emeryville Police Department,2020,79,88,188
Emeryville Police Department,2021,46,56,194
Emeryville Police Department,2022,80,63,256
Escalon Police Department,2017,25,57,22
Escalon Police Department,2018,34,73,33
Escalon Police Department,2019,35,86,28
Escalon Police Department,2020,36,61,28
Escalon Police Department,2022,29,70,25
Escondido Police Department,2017,966,2308,1019
Escondido Police Department,2018,820,2009,917
Escondido Police Department,2019,799,2146,767
Escondido Police Department,2020,846,2308,775
Escondido Police Department,2021,522,1705,450
Escondido Police Department,2022,766,2210,715
Etna Police Department,2018,0,0,0
Etna Police Department,2020,2,2,0
Etna Police Department,2022,0,0,0
Eureka Police Department,2017,458,1410,471
Eureka Police Department,2018,419,1139,492
Eureka Police Department,2019,357,1062,487
Eureka Police Department,2020,311,1535,370
Eureka Police Department,2022,304,918,373
Exeter Police Department,2017,98,133,53
Exeter Police Department,2018,87,125,61
Exeter Police Department,2019,91,136,59
Exeter Police Department,2020,67,177,87
Exeter Police Department,2022,93,82,47
Fairfax Police Department,2017,35,89,17
Fairfax Police Department,2018,24,94,18
Fairfax Police Department,2019,30,95,12
Fairfax Police Department,2020,26,49,6
Fairfax Police Department,2022,16,61,18
Fairfield Police Department,2017,1002,1126,634
Fairfield Police Department,2018,1086,1309,663
Fairfield Police Department,2019,928,1077,573
Fairfield Police Department,2020,832,812,564
